Date,Client,Client Code ,Contact,Department,Location,Payment,Revenue,Profit,s,Data_Quality_Flag 
30/05/2023,"AMAZON.COM, INC. ",XNAS:AMZN,Bill Smith,Cloud Tech,Texas,Transfer,"$4,500",$598,13.29%,OK
30/05/2023,"TESLA, INC. ",XNAS:TSLA,Ken Singh,Strategy,New York,PayPal,"$3,800","$1,045",27.50%,OK
30/05/2023,"NETFLIX, INC. ",XNAS:NFLX,Harley Fritz,Strategy,New York,Unknown,"$3,713","$1,009",27.18%,OK
30/05/2023,THE PROCTER & GAMBLE COMPANY ,XNYS:PG,Nyla Novak,Operations,Florida,Unknown,Unknown,$779,,Missing Revenue
30/05/2023,"THE GOLDMAN SACHS GROUP, INC. ",XNYS:GS,David Rasmussen,Operations,Florida,Check,"$5,000",$684,13.68%,OK
31/05/2023,JPMORGAN CHASE & CO. ,XNYS:JPM,Ivan Hiney,Cloud Tech,Texas,Transfer,"$6,100",$544,8.92%,OK
31/05/2023,MORGAN STANLEY ,XNYS:MS,Johan Ma,Cloud Tech,Texas,Transfer,"$4,625",$670,14.49%,OK
31/05/2023,CITIGROUP INC. ,XNYS:C,Jordan Boone,Cloud Tech,Texas,Transfer,"$3,800","$2,045",53.82%,OK
31/05/2023,BANK OF AMERICA CORPORATION ,XNYS:BAC,Kylee Townsend,Cloud Tech,Texas,Card,"$3,600","$1,564",43.44%,OK
31/05/2023,WALMART INC. ,XNYS:WMT,Nora Rollins,Cloud Tech,Texas,Check,"$5,100","$1,220",23.92%,OK
31/05/2023,TARGET CORPORATION ,XNYS:TGT,Brendan Wallace,Cloud Tech,Texas,Check,"$4,750","$1,435",30.21%,OK
31/05/2023,COSTCO WHOLESALE CORPORATION ,XNAS:COST,Conor Wise,Operations,Florida,Transfer,"$6,000",$998,16.63%,OK
31/05/2023,MCDONALD'S CORPORATION ,XNYS:MCD,Steven Michael,Big Data,California,Check,"$4,500",$780,17.33%,OK
01/06/2023,EXXON MOBIL CORPORATION ,XNYS:XOM,Lucia McKay,Big Data,California,Card,Unknown,"$1,044",,Missing Revenue
01/06/2023,VERIZON COMMUNICATIONS INC. ,XNYS:VZ,Jose Roach,Big Data,California,Transfer,"$3,713","$1,222",32.92%,OK
01/06/2023,"THE HOME DEPOT, INC. ",XNYS:HD,Franklin Wright,Big Data,California,Transfer,"$4,950","$1,065",21.52%,OK
01/06/2023,"CISCO SYSTEMS, INC. ",XNAS:CSCO,Alia Thornton,Operations,Florida,Transfer,"$4,750",$810,17.05%,OK
01/06/2023,CHEVRON CORPORATION ,XNYS:CVX,Denzel Flores,Operations,Florida,Transfer,"$7,320",$933,12.75%,OK
01/06/2023,AT&T INC. ,XNYS:T,Bruno Cordova,Big Data,California,Transfer,"$5,088",$655,12.87%,OK
01/06/2023,INTEL CORPORATION ,XNAS:INTC,Jaylynn Napp,Big Data,California,Transfer,"$4,500",$722,16.04%,OK
01/06/2023,GENERAL MOTORS COMPANY ,XNYS:GM,Bruce Rich,Big Data,California,Card,"$4,250",$901,21.20%,OK
02/06/2023,MICROSOFT CORPORATION ,XNAS:MSFT,Arturo Moore,Big Data,California,PayPal,"$5,250","$1,349",25.70%,OK
02/06/2023,COMCAST CORPORATION ,XNAS:CMCSA,Bryce Carpenter,Strategy,New York,PayPal,"$6,500","$1,288",19.82%,OK
02/06/2023,DELL TECHNOLOGIES INC. ,XNYS:DELL,Jaidyn Andersen,Strategy,New York,PayPal,"$7,500","$1,664",22.19%,OK
02/06/2023,JOHNSON & JOHNSON ,XNYS:JNJ,Mark Walm,Strategy,New York,Transfer,"$5,500","$1,320",24.00%,OK
02/06/2023,FEDEX CORPORATION ,XNYS:FDX,Harry Lee,Strategy,New York,Transfer,"$4,625","$1,001",21.64%,OK
02/06/2023,GENERAL ELECTRIC COMPANY ,XNYS:GE,Josh Johnson,Strategy,New York,Transfer,"$4,500",$960,21.33%,OK
02/06/2023,LOCKHEED MARTIN CORPORATION ,XNYS:LMT,Mik Naam,Strategy,New York,Card,"$5,400",$540,10.00%,OK
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
